,,,,,,,,,,,,,,,,,,,
,Test Case 수,,TC Total 수,Pass,Fail,Block,NI,Incomplete,실 시나리오 카운트,,,,,,,,,,
,8,공통,로그인,이메일,로그인 실패,,,,"1. GNB > Login 클릭
2. 미가입된 이메일 계정/비밀번호 입력 후 Sign up 버튼 클릭

[Mweb]
1. GNB > Profile 아이콘 클릭
2. [Log in] 버튼 클릭
3. 미가입된 이메일 계정/비밀번호 입력 후 Sign up 버튼 클릭","1. 로그인 유도 창으로 이동된다.
2. 로그인되지 않으며 오류 메세지 노출되고 화면 유지된다.

[Mweb]
1. 로그인 유도 창으로 이동된다.
2. Email 로그인 유도 화면으로 이동된다
3. 로그인되지 않으며 오류 메세지 노출되고 화면 유지된다.",,공통,W,P0,,,,,
,9,공통,로그인,이메일,로그인 성공,,,,"1. GNB > Login 클릭
2. Email 계정 입력 > Login 클릭

[Mweb]
1. GNB > Profile 아이콘 클릭
2. [Log in] 버튼 클릭
3. Email 계정 입력 > Login 클릭","1. 로그인 유도 창으로 이동된다.
2. 로그인 완료되며 홈 화면으로 이동된다.

[Mweb]
1. 로그인 유도 창으로 이동된다.
2. Email 로그인 유도 화면으로 이동된다.
3. 로그인 완료되며 홈 화면으로 이동된다.",,공통,W,P0,,,,,
,10,공통,탈퇴,,,,,,"1. GNB > Profile 클릭
2. [Settings] 클릭
3. 하단 Delete account 클릭
4. Delete account 화면 > Delete account 클릭
5. 비밀번호 검증 팝업 > 비밀번호 정상 입력 후 Delete account 클릭","1. 하위 메뉴 노출된다.
2. Edit Profile 화면에 진입된다.
3. Delete account 안내 화면으로 이동된다. 
4. 비밀번호 검증 팝업이 노출된다.
5. 정상적으로 로그아웃 및 계정 탈퇴되며 홈 화면으로 이동된다. ",,공통,W,P0,,,,,
,11,홈,Shortcut,,,,,로그인 상태,"1. 타파스 홈 진입
2. 숏컷 영역 노출 확인","1. 홈화면의 첫 번째 서브탭으로 진입된다.
2. 숏컷 영역에 Library, Inbox, Publish, 검색 아이콘 노출된다.
(작가인 경우 Dashboard 노출)",,공통,W,P0,,,,,
,12,홈,Shortcut,,,,,미로그인 상태,"1. 타파스 홈 진입
2. 숏컷 영역 노출 확인","1. 홈화면의 첫 번째 서브탭으로 진입된다.
2. 숏컷 영역에 
[PCW] 검색 필드, 로그인, Publish 버튼이 노출된다.
[MW] 검색, 프로필 버튼이 노출된다.",,공통,W,P0,,,,,
,13,홈,Shortcut,검색 아이콘,,,,,"1. 검색 필드 클릭
2. 검색어 입력란 > {키워드} 입력
3. 검색 결과 화면 확인
4. 작품 클릭
5. 작품홈 > 상단네비바 [<] 또는 단말 백버튼 클릭
6. 검색 결과 화면 > [Cancel] 버튼 또는 단말 백버튼 클릭","1. 검색 화면으로 이동된다.
2. 검색 결과 화면이 노출된다. 
ㄴ Comics/Novels/People/Tags 탭 노출
3. {작품명} 작품이 조회된다.
4. {작품명} 작품홈으로 이동된다.
5. 검색 결과 화면으로 돌아온다.
6. 홈화면으로 돌아온다.",,공통,W,P0,,,,,
,14,홈,"Spotlight
(섹션 서브탭)",프로모션 배너,,,,,"1. {Spotlight} 서브탭 클릭
2. 프로모션 배너 섹션 노출 확인
3. 프로모션 배너 클릭","1. Spotlight 서브탭 화면이 노출된다.
2. 프로모션 배너 이미지 및 배너 텍스트가 정상 노출된다.
3. 설정된 랜딩타겟으로 이동된다.",,공통,W,P0,,,,,
,15,홈,"Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,1. Top 섹션 > 빅배너 노출 영역 확인,"1. 빅배너 설정에 맞게 정상 노출된다.
ㄴ 이미지,타이틀, BM/신작/연령/이벤트 뱃지",,공통,W,P0,,,,,
,16,홈,"Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,"1. 빅배너 영역에서 8초 이상 대기
2. 빅배너 좌로 스와이프
3. 빅배너 우로 스와이프","1. 다음 빅배너로 자동 스와이프된다.
2. 이전 빅배너로 스와이프되며 상단 인디케이터도 순서에 맞게 노출된다.
3. 다음 빅배너로 스와이프되며 상단 인디케이터도 순서에 맞게 노출된다.",,공통,W,P0,,,,,
,17,홈,"Spotlight
(섹션 서브탭)",Top 섹션,빅배너,,,,"1. 빅배너 클릭
2. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 빅배너 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (홈)",,공통,W,P0,,,,,
